"","fips","name","state","needle_count","needle_binary"
"461","45027","Clarendon","South Carolina",0,FALSE
"462","45039","Fairfield","South Carolina",0,FALSE
"463","47005","Benton","Tennessee",0,FALSE
"464","47007","Bledsoe","Tennessee",0,FALSE
"465","47013","Campbell","Tennessee",0,FALSE
"466","47027","Clay","Tennessee",0,FALSE
"467","47031","Coffee","Tennessee",0,FALSE
"468","47045","Dyer","Tennessee",0,FALSE
"469","47057","Grainger","Tennessee",0,FALSE
"470","47069","Hardeman","Tennessee",0,FALSE
"471","47081","Hickman","Tennessee",0,FALSE
"472","47093","Knox","Tennessee",0,FALSE
"473","47105","Loudon","Tennessee",0,FALSE
"474","47117","Marshall","Tennessee",0,FALSE
"475","47129","Morgan","Tennessee",0,FALSE
"476","47139","Polk","Tennessee",0,FALSE
"477","47151","Scott","Tennessee",0,FALSE
"478","47173","Union","Tennessee",0,FALSE
"479","47179","Washington","Tennessee",1,TRUE
"480","45049","Hampton","South Carolina",0,FALSE
"481","45053","Jasper","South Carolina",0,FALSE
"482","45075","Orangeburg","South Carolina",0,FALSE
"483","45081","Saluda","South Carolina",0,FALSE
"484","46003","Aurora","South Dakota",0,FALSE
"485","46007","Bennett","South Dakota",0,FALSE
"486","46017","Buffalo","South Dakota",0,FALSE
"487","46029","Codington","South Dakota",0,FALSE
"488","46035","Davison","South Dakota",0,FALSE
"489","46043","Douglas","South Dakota",0,FALSE
"490","46055","Haakon","South Dakota",0,FALSE
"491","46061","Hanson","South Dakota",0,FALSE
"492","46087","McCook","South Dakota",0,FALSE
"493","46095","Mellette","South Dakota",0,FALSE
"494","46103","Pennington","South Dakota",0,FALSE
"495","46111","Sanborn","South Dakota",0,FALSE
"496","46125","Turner","South Dakota",0,FALSE
"497","46137","Ziebach","South Dakota",0,FALSE
"498","40059","Harper","Oklahoma",0,FALSE
"499","40063","Hughes","Oklahoma",0,FALSE
"500","40073","Kingfisher","Oklahoma",0,FALSE
"501","40081","Lincoln","Oklahoma",0,FALSE
"502","40087","McClain","Oklahoma",0,FALSE
"503","40097","Mayes","Oklahoma",0,FALSE
"504","40109","Oklahoma","Oklahoma",0,FALSE
"505","40123","Pontotoc","Oklahoma",0,FALSE
"506","40127","Pushmataha","Oklahoma",0,FALSE
"507","40147","Washington","Oklahoma",0,FALSE
"508","40153","Woodward","Oklahoma",0,FALSE
"509","41017","Deschutes","Oregon",1,TRUE
"510","41031","Jefferson","Oregon",0,FALSE
"511","41037","Lake","Oregon",0,FALSE
"512","41053","Polk","Oregon",0,FALSE
"513","41069","Wheeler","Oregon",0,FALSE
"514","42005","Armstrong","Pennsylvania",0,FALSE
"515","48357","Ochiltree","Texas",0,FALSE
"516","48359","Oldham","Texas",0,FALSE
"517","48367","Parker","Texas",0,FALSE
"518","48379","Rains","Texas",0,FALSE
"519","48381","Randall","Texas",0,FALSE
"520","48393","Roberts","Texas",0,FALSE
"521","48397","Rockwall","Texas",0,FALSE
"522","48411","San Saba","Texas",0,FALSE
"523","48425","Somervell","Texas",0,FALSE
"524","48429","Stephens","Texas",0,FALSE
"525","48433","Stonewall","Texas",0,FALSE
"526","48445","Terry","Texas",0,FALSE
"527","48449","Titus","Texas",0,FALSE
"528","48459","Upshur","Texas",0,FALSE
"529","48463","Uvalde","Texas",0,FALSE
"530","48475","Ward","Texas",0,FALSE
"531","48491","Williamson","Texas",0,FALSE
"532","48497","Wise","Texas",0,FALSE
"533","48507","Zavala","Texas",0,FALSE
"534","49011","Davis","Utah",0,FALSE
"535","47185","White","Tennessee",0,FALSE
"536","47189","Wilson","Tennessee",0,FALSE
"537","48009","Archer","Texas",0,FALSE
"538","48011","Armstrong","Texas",0,FALSE
"539","48021","Bastrop","Texas",0,FALSE
"540","48031","Blanco","Texas",0,FALSE
"541","48047","Brooks","Texas",0,FALSE
"542","48053","Burnet","Texas",0,FALSE
"543","48063","Camp","Texas",0,FALSE
"544","48069","Castro","Texas",0,FALSE
"545","48079","Cochran","Texas",0,FALSE
"546","48095","Concho","Texas",0,FALSE
"547","48099","Coryell","Texas",0,FALSE
"548","48103","Crane","Texas",0,FALSE
"549","48115","Dawson","Texas",0,FALSE
"550","48123","DeWitt","Texas",0,FALSE
"551","48127","Dimmit","Texas",0,FALSE
"552","48137","Edwards","Texas",0,FALSE
"553","48149","Fayette","Texas",0,FALSE
"554","48159","Franklin","Texas",0,FALSE
"555","48169","Garza","Texas",0,FALSE
"556","48177","Gonzales","Texas",0,FALSE
"557","48179","Gray","Texas",0,FALSE
"558","48185","Grimes","Texas",0,FALSE
"559","48191","Hall","Texas",0,FALSE
"560","48195","Hansford","Texas",0,FALSE
"561","48217","Hill","Texas",0,FALSE
"562","48227","Howard","Texas",0,FALSE
"563","48233","Hutchinson","Texas",0,FALSE
"564","48247","Jim Hogg","Texas",0,FALSE
"565","48251","Johnson","Texas",0,FALSE
"566","48263","Kent","Texas",0,FALSE
"567","48265","Kerr","Texas",0,FALSE
"568","48275","Knox","Texas",0,FALSE
"569","48283","La Salle","Texas",0,FALSE
"570","48297","Live Oak","Texas",0,FALSE
"571","48303","Lubbock","Texas",0,FALSE
"572","48309","McLennan","Texas",1,TRUE
"573","48319","Mason","Texas",0,FALSE
"574","48329","Midland","Texas",0,FALSE
"575","48339","Montgomery","Texas",0,FALSE
"576","48349","Navarro","Texas",0,FALSE
"577","48353","Nolan","Texas",0,FALSE
"578","51121","Montgomery","Virginia",0,FALSE
"579","51125","Nelson","Virginia",0,FALSE
"580","51141","Patrick","Virginia",0,FALSE
"581","51145","Powhatan","Virginia",0,FALSE
"582","51155","Pulaski","Virginia",0,FALSE
"583","51157","Rappahannock","Virginia",0,FALSE
"584","51173","Smyth","Virginia",0,FALSE
"585","51187","Warren","Virginia",0,FALSE
"586","51197","Wythe","Virginia",0,FALSE
"587","51510","Alexandria","Virginia",0,FALSE
"588","51530","Buena Vista","Virginia",0,FALSE
"589","51540","Charlottesville","Virginia",0,FALSE
"590","51595","Emporia","Virginia",0,FALSE
"591","51660","Harrisonburg","Virginia",0,FALSE
"592","51670","Hopewell","Virginia",0,FALSE
"593","51760","Richmond","Virginia",1,TRUE
"594","51775","Salem","Virginia",0,FALSE
"595","51820","Waynesboro","Virginia",0,FALSE
"596","53013","Columbia","Washington",0,FALSE
"597","53021","Franklin","Washington",0,FALSE
"598","55029","Door","Wisconsin",0,FALSE
"599","55033","Dunn","Wisconsin",0,FALSE
"600","55039","Fond du Lac","Wisconsin",0,FALSE
"601","55045","Green","Wisconsin",0,FALSE
