"","ZCTA5CE10","GEOID10","ssp_count","needle_binary"
"14552","62207","62207",0,FALSE
"14553","53951","53951",0,FALSE
"14554","62208","62208",0,FALSE
"14555","62214","62214",0,FALSE
"14556","53952","53952",0,FALSE
"14557","53953","53953",0,FALSE
"14558","62215","62215",0,FALSE
"14559","62216","62216",0,FALSE
"14560","62217","62217",0,FALSE
"14561","53954","53954",0,FALSE
"14562","62218","62218",0,FALSE
"14563","62219","62219",0,FALSE
"14564","53955","53955",0,FALSE
"14565","53956","53956",0,FALSE
"14566","62220","62220",0,FALSE
"14567","53959","53959",0,FALSE
"14568","62221","62221",0,FALSE
"14569","53960","53960",0,FALSE
"14570","53961","53961",0,FALSE
"14571","62223","62223",0,FALSE
"14572","62225","62225",0,FALSE
"14573","53963","53963",0,FALSE
"14574","28270","28270",0,FALSE
"14575","28273","28273",0,FALSE
"14576","28277","28277",0,FALSE
"14577","28278","28278",0,FALSE
"14578","28280","28280",0,FALSE
"14579","28282","28282",0,FALSE
"14580","28301","28301",0,FALSE
"14581","28303","28303",0,FALSE
"14582","28304","28304",0,FALSE
"14583","28305","28305",0,FALSE
"14584","28306","28306",0,FALSE
"14585","28307","28307",0,FALSE
"14586","28308","28308",0,FALSE
"14587","28310","28310",0,FALSE
"14588","28311","28311",1,TRUE
"14589","28312","28312",0,FALSE
"14590","28314","28314",0,FALSE
"14591","28315","28315",0,FALSE
"14592","28318","28318",0,FALSE
"14593","28320","28320",0,FALSE
"14594","28323","28323",0,FALSE
"14595","28325","28325",0,FALSE
"14596","28326","28326",0,FALSE
"14597","28327","28327",0,FALSE
"14598","28328","28328",0,FALSE
"14599","28330","28330",0,FALSE
"14600","28332","28332",0,FALSE
"14601","44301","44301",0,FALSE
"14602","62561","62561",0,FALSE
"14603","44302","44302",0,FALSE
"14604","44303","44303",0,FALSE
"14605","62563","62563",0,FALSE
"14606","44304","44304",0,FALSE
"14607","23704","23704",0,FALSE
"14608","44305","44305",0,FALSE
"14609","62565","62565",0,FALSE
"14610","23707","23707",0,FALSE
"14611","23708","23708",0,FALSE
"14612","23709","23709",0,FALSE
"14613","62567","62567",0,FALSE
"14614","44306","44306",0,FALSE
"14615","23801","23801",0,FALSE
"14616","19435","19435",0,FALSE
"14617","19436","19436",0,FALSE
"14618","19437","19437",0,FALSE
"14619","19438","19438",0,FALSE
"14620","19440","19440",0,FALSE
"14621","19442","19442",0,FALSE
"14622","19444","19444",0,FALSE
"14623","19446","19446",0,FALSE
"14624","19453","19453",0,FALSE
"14625","19454","19454",0,FALSE
"14626","19456","19456",0,FALSE
"14627","19457","19457",0,FALSE
"14628","19460","19460",0,FALSE
"14629","19462","19462",0,FALSE
"14630","19464","19464",0,FALSE
"14631","19465","19465",0,FALSE
"14632","21723","21723",0,FALSE
"14633","21727","21727",0,FALSE
"14634","21733","21733",0,FALSE
"14635","21734","21734",0,FALSE
"14636","21737","21737",0,FALSE
"14637","21738","21738",0,FALSE
"14638","08215","08215",0,FALSE
"14639","08217","08217",0,FALSE
"14640","08221","08221",0,FALSE
"14641","21740","21740",0,FALSE
"14642","08223","08223",0,FALSE
"14643","08224","08224",0,FALSE
"14644","08225","08225",0,FALSE
"14645","21742","21742",0,FALSE
"14646","21746","21746",0,FALSE
"14647","21750","21750",0,FALSE
"14648","08226","08226",0,FALSE
"14649","04231","04231",0,FALSE
"14650","04234","04234",0,FALSE
"14651","04236","04236",0,FALSE
"14652","04237","04237",0,FALSE
"14653","04238","04238",0,FALSE
"14654","04239","04239",0,FALSE
"14655","04240","04240",0,FALSE
"14656","04250","04250",0,FALSE
"14657","04252","04252",0,FALSE
"14658","04253","04253",0,FALSE
"14659","04254","04254",0,FALSE
"14660","04255","04255",0,FALSE
"14661","04256","04256",0,FALSE
"14662","04257","04257",0,FALSE
"14663","04258","04258",0,FALSE
"14664","04259","04259",0,FALSE
"14665","55128","55128",0,FALSE
"14666","55129","55129",0,FALSE
"14667","55130","55130",0,FALSE
"14668","55150","55150",0,FALSE
"14669","55155","55155",0,FALSE
"14670","55301","55301",0,FALSE
"14671","55302","55302",0,FALSE
"14672","55303","55303",0,FALSE
"14673","55304","55304",0,FALSE
"14674","55305","55305",0,FALSE
"14675","55306","55306",0,FALSE
"14676","55307","55307",0,FALSE
"14677","55308","55308",0,FALSE
"14678","55309","55309",0,FALSE
"14679","55310","55310",0,FALSE
"14680","55311","55311",0,FALSE
"14681","55312","55312",0,FALSE
"14682","16866","16866",0,FALSE
"14683","16868","16868",0,FALSE
"14684","16870","16870",0,FALSE
"14685","16871","16871",0,FALSE
"14686","16872","16872",0,FALSE
"14687","16874","16874",0,FALSE
"14688","16875","16875",0,FALSE
"14689","16876","16876",0,FALSE
"14690","16877","16877",0,FALSE
"14691","16878","16878",0,FALSE
"14692","16879","16879",0,FALSE
"14693","16881","16881",0,FALSE
"14694","16882","16882",0,FALSE
"14695","16901","16901",0,FALSE
"14696","16911","16911",0,FALSE
"14697","16912","16912",0,FALSE
"14698","16914","16914",0,FALSE
"14699","16915","16915",0,FALSE
"14700","16917","16917",0,FALSE
"14701","16920","16920",0,FALSE
"14702","16921","16921",0,FALSE
"14703","16922","16922",0,FALSE
"14704","16923","16923",0,FALSE
"14705","16925","16925",0,FALSE
"14706","16926","16926",0,FALSE
"14707","16927","16927",0,FALSE
"14708","16928","16928",0,FALSE
"14709","16929","16929",0,FALSE
"14710","16930","16930",0,FALSE
"14711","16932","16932",0,FALSE
"14712","16933","16933",0,FALSE
"14713","87543","87543",0,FALSE
"14714","87544","87544",0,FALSE
"14715","87548","87548",0,FALSE
"14716","87549","87549",0,FALSE
"14717","87551","87551",0,FALSE
"14718","87552","87552",0,FALSE
"14719","87553","87553",0,FALSE
"14720","87554","87554",0,FALSE
"14721","87556","87556",0,FALSE
"14722","87557","87557",0,FALSE
"14723","87558","87558",0,FALSE
"14724","87560","87560",0,FALSE
"14725","87562","87562",0,FALSE
"14726","87564","87564",0,FALSE
"14727","87565","87565",0,FALSE
"14728","87566","87566",0,FALSE
"14729","87567","87567",0,FALSE
"14730","87569","87569",0,FALSE
"14731","87571","87571",0,FALSE
"14732","87573","87573",0,FALSE
"14733","87574","87574",0,FALSE
"14734","87575","87575",0,FALSE
"14735","87577","87577",0,FALSE
"14736","87578","87578",0,FALSE
"14737","87579","87579",0,FALSE
"14738","87580","87580",0,FALSE
"14739","87581","87581",0,FALSE
"14740","87582","87582",0,FALSE
"14741","87583","87583",0,FALSE
"14742","87701","87701",0,FALSE
"14743","87710","87710",0,FALSE
"14744","87711","87711",0,FALSE
"14745","87712","87712",0,FALSE
"14746","87713","87713",0,FALSE
"14747","87714","87714",0,FALSE
"14748","87715","87715",0,FALSE
"14749","87718","87718",0,FALSE
"14750","87722","87722",0,FALSE
"14751","87723","87723",0,FALSE
"14752","87724","87724",0,FALSE
"14753","87728","87728",0,FALSE
"14754","87729","87729",0,FALSE
"14755","03811","03811",0,FALSE
"14756","03812","03812",0,FALSE
"14757","03813","03813",0,FALSE
"14758","03814","03814",0,FALSE
"14759","03816","03816",0,FALSE
"14760","03817","03817",0,FALSE
"14761","03818","03818",0,FALSE
"14762","03819","03819",0,FALSE
"14763","03820","03820",0,FALSE
"14764","03823","03823",0,FALSE
"14765","03824","03824",0,FALSE
"14766","03825","03825",0,FALSE
"14767","32256","32256",0,FALSE
"14768","35218","35218",0,FALSE
"14769","35221","35221",0,FALSE
"14770","48203","48203",1,TRUE
"14771","35222","35222",0,FALSE
"14772","60154","60154",0,FALSE
"14773","60155","60155",0,FALSE
"14774","40769","40769",1,TRUE
"14775","40771","40771",0,FALSE
"14776","40801","40801",0,FALSE
"14777","40806","40806",0,FALSE
"14778","40807","40807",0,FALSE
"14779","40808","40808",0,FALSE
"14780","60156","60156",0,FALSE
"14781","40810","40810",0,FALSE
"14782","60157","60157",0,FALSE
"14783","40813","40813",0,FALSE
"14784","11370","11370",0,FALSE
"14785","11371","11371",0,FALSE
"14786","11372","11372",0,FALSE
"14787","11373","11373",0,FALSE
"14788","11374","11374",0,FALSE
"14789","11375","11375",0,FALSE
"14790","11377","11377",0,FALSE
"14791","11378","11378",0,FALSE
"14792","63446","63446",0,FALSE
"14793","58063","58063",0,FALSE
"14794","63447","63447",0,FALSE
"14795","58064","58064",0,FALSE
"14796","58065","58065",0,FALSE
"14797","63448","63448",0,FALSE
"14798","58067","58067",0,FALSE
"14799","63450","63450",0,FALSE
"14800","63451","63451",0,FALSE
"14801","58068","58068",0,FALSE
"14802","58069","58069",0,FALSE
"14803","63452","63452",0,FALSE
"14804","58071","58071",0,FALSE
"14805","63453","63453",0,FALSE
"14806","63454","63454",0,FALSE
"14807","63456","63456",0,FALSE
"14808","63457","63457",0,FALSE
"14809","63458","63458",0,FALSE
"14810","58072","58072",0,FALSE
"14811","63459","63459",0,FALSE
"14812","63460","63460",0,FALSE
"14813","58075","58075",0,FALSE
"14814","58076","58076",0,FALSE
"14815","63461","63461",0,FALSE
"14816","58077","58077",0,FALSE
"14817","63462","63462",0,FALSE
"14818","63463","63463",0,FALSE
"14819","53964","53964",0,FALSE
"14820","62226","62226",0,FALSE
"14821","62230","62230",0,FALSE
"14822","53965","53965",0,FALSE
"14823","62231","62231",0,FALSE
"14824","53968","53968",0,FALSE
"14825","53969","53969",0,FALSE
"14826","62232","62232",0,FALSE
"14827","54001","54001",0,FALSE
"14828","62233","62233",0,FALSE
"14829","54002","54002",0,FALSE
"14830","54003","54003",0,FALSE
"14831","54004","54004",0,FALSE
"14832","54005","54005",0,FALSE
"14833","54006","54006",0,FALSE
"14834","62234","62234",0,FALSE
"14835","54007","54007",0,FALSE
"14836","54009","54009",0,FALSE
"14837","54010","54010",0,FALSE
"14838","62236","62236",0,FALSE
"14839","54011","54011",0,FALSE
"14840","54013","54013",0,FALSE
"14841","62237","62237",0,FALSE
"14842","62238","62238",0,FALSE
"14843","54014","54014",0,FALSE
"14844","54015","54015",0,FALSE
"14845","62239","62239",0,FALSE
"14846","62240","62240",0,FALSE
"14847","62241","62241",0,FALSE
"14848","62242","62242",0,FALSE
"14849","54016","54016",0,FALSE
"14850","62243","62243",0,FALSE
"14851","62244","62244",0,FALSE
"14852","62245","62245",0,FALSE
"14853","54017","54017",0,FALSE
"14854","54020","54020",0,FALSE
"14855","54021","54021",0,FALSE
"14856","62246","62246",0,FALSE
"14857","28333","28333",0,FALSE
"14858","28334","28334",0,FALSE
"14859","28337","28337",0,FALSE
"14860","28338","28338",0,FALSE
"14861","28339","28339",0,FALSE
"14862","28340","28340",0,FALSE
"14863","28341","28341",0,FALSE
"14864","28342","28342",0,FALSE
"14865","28343","28343",0,FALSE
"14866","28344","28344",0,FALSE
"14867","28345","28345",0,FALSE
"14868","28347","28347",0,FALSE
"14869","28348","28348",0,FALSE
"14870","28349","28349",0,FALSE
"14871","28350","28350",0,FALSE
"14872","28351","28351",0,FALSE
"14873","28352","28352",0,FALSE
"14874","28356","28356",0,FALSE
"14875","28357","28357",0,FALSE
"14876","28358","28358",0,FALSE
"14877","28360","28360",0,FALSE
"14878","28363","28363",0,FALSE
"14879","28364","28364",0,FALSE
"14880","28365","28365",0,FALSE
"14881","28366","28366",0,FALSE
"14882","44307","44307",0,FALSE
"14883","44308","44308",0,FALSE
"14884","44310","44310",0,FALSE
"14885","44311","44311",0,FALSE
"14886","62568","62568",0,FALSE
"14887","62570","62570",0,FALSE
"14888","62571","62571",0,FALSE
"14889","62572","62572",0,FALSE
"14890","62573","62573",0,FALSE
"14891","44312","44312",0,FALSE
"14892","62601","62601",0,FALSE
"14893","62610","62610",0,FALSE
"14894","62611","62611",0,FALSE
"14895","23803","23803",0,FALSE
"14896","44313","44313",0,FALSE
"14897","62612","62612",0,FALSE
"14898","62613","62613",0,FALSE
"14899","44314","44314",0,FALSE
"14900","23805","23805",0,FALSE
"14901","23806","23806",0,FALSE
"14902","62615","62615",0,FALSE
"14903","62617","62617",0,FALSE
"14904","23821","23821",0,FALSE
"14905","19468","19468",0,FALSE
"14906","19472","19472",0,FALSE
"14907","19473","19473",0,FALSE
"14908","19474","19474",0,FALSE
"14909","19475","19475",0,FALSE
"14910","19477","19477",0,FALSE
"14911","19492","19492",0,FALSE
"14912","19501","19501",0,FALSE
"14913","19503","19503",0,FALSE
"14914","19504","19504",0,FALSE
"14915","60604","60604",0,FALSE
"14916","60605","60605",0,FALSE
"14917","60606","60606",0,FALSE
"14918","35950","35950",0,FALSE
"14919","35951","35951",0,FALSE
"14920","60607","60607",0,FALSE
"14921","35952","35952",0,FALSE
"14922","35953","35953",0,FALSE
"14923","60608","60608",0,FALSE
"14924","35954","35954",0,FALSE
"14925","35956","35956",0,FALSE
"14926","35957","35957",0,FALSE
"14927","60609","60609",0,FALSE
"14928","35958","35958",0,FALSE
"14929","60610","60610",0,FALSE
"14930","26716","26716",0,FALSE
"14931","26717","26717",0,FALSE
"14932","26719","26719",0,FALSE
"14933","26720","26720",0,FALSE
"14934","26722","26722",0,FALSE
"14935","26726","26726",0,FALSE
"14936","26731","26731",0,FALSE
"14937","26739","26739",0,FALSE
"14938","21754","21754",0,FALSE
"14939","08230","08230",0,FALSE
"14940","21755","21755",0,FALSE
"14941","21756","21756",0,FALSE
"14942","08232","08232",0,FALSE
"14943","21757","21757",0,FALSE
"14944","21758","21758",0,FALSE
"14945","21762","21762",0,FALSE
"14946","21766","21766",0,FALSE
"14947","21767","21767",0,FALSE
"14948","21769","21769",0,FALSE
"14949","21770","21770",0,FALSE
"14950","08234","08234",0,FALSE
"14951","08240","08240",0,FALSE
"14952","08241","08241",0,FALSE
"14953","08242","08242",0,FALSE
"14954","04260","04260",0,FALSE
"14955","04261","04261",0,FALSE
"14956","04263","04263",0,FALSE
"14957","04265","04265",0,FALSE
"14958","04267","04267",0,FALSE
"14959","04268","04268",0,FALSE
"14960","04270","04270",0,FALSE
"14961","04271","04271",0,FALSE
"14962","04274","04274",0,FALSE
"14963","04275","04275",0,FALSE
"14964","04276","04276",0,FALSE
"14965","04280","04280",0,FALSE
"14966","04281","04281",0,FALSE
"14967","04282","04282",0,FALSE
"14968","04284","04284",0,FALSE
"14969","55313","55313",0,FALSE
"14970","55314","55314",0,FALSE
"14971","55315","55315",0,FALSE
"14972","55316","55316",0,FALSE
"14973","55317","55317",0,FALSE
"14974","55318","55318",0,FALSE
"14975","55319","55319",0,FALSE
"14976","55320","55320",0,FALSE
"14977","55321","55321",0,FALSE
"14978","55322","55322",0,FALSE
"14979","55324","55324",0,FALSE
"14980","55325","55325",0,FALSE
"14981","55327","55327",0,FALSE
"14982","55328","55328",0,FALSE
"14983","55329","55329",0,FALSE
"14984","55330","55330",0,FALSE
"14985","55331","55331",0,FALSE
"14986","55332","55332",0,FALSE
"14987","55333","55333",0,FALSE
"14988","55334","55334",0,FALSE
"14989","55335","55335",0,FALSE
"14990","55336","55336",0,FALSE
"14991","55337","55337",0,FALSE
"14992","55338","55338",0,FALSE
"14993","55339","55339",0,FALSE
"14994","55340","55340",0,FALSE
"14995","55341","55341",0,FALSE
"14996","55342","55342",0,FALSE
"14997","55343","55343",0,FALSE
"14998","55344","55344",0,FALSE
"14999","55345","55345",0,FALSE
"15000","15731","15731",0,FALSE
"15001","15732","15732",0,FALSE
"15002","15733","15733",0,FALSE
"15003","15734","15734",0,FALSE
"15004","15736","15736",0,FALSE
"15005","15737","15737",0,FALSE
"15006","15738","15738",0,FALSE
"15007","15739","15739",0,FALSE
"15008","15741","15741",0,FALSE
"15009","15742","15742",0,FALSE
"15010","15744","15744",0,FALSE
"15011","15745","15745",0,FALSE
"15012","15746","15746",0,FALSE
"15013","06415","06415",0,FALSE
"15014","06416","06416",0,FALSE
"15015","06417","06417",0,FALSE
"15016","87730","87730",0,FALSE
"15017","87731","87731",0,FALSE
"15018","87732","87732",0,FALSE
"15019","87733","87733",0,FALSE
"15020","87734","87734",0,FALSE
"15021","87735","87735",0,FALSE
"15022","87736","87736",0,FALSE
"15023","87740","87740",0,FALSE
"15024","87742","87742",0,FALSE
"15025","87743","87743",0,FALSE
"15026","87745","87745",0,FALSE
"15027","87746","87746",0,FALSE
"15028","87747","87747",0,FALSE
"15029","87749","87749",0,FALSE
